-M,-U 
64,19.323843416370106
560,49.8576512455516
2,9.555160142348756
498,45.26690391459074
436,44.00355871886121
374,36.31672597864768
312,34.395017793594306
250,29.91103202846975
188,27.88256227758007
126,25.2135231316726
-M,-C 0.25 
64,19.306049822064058
560,49.8576512455516
2,9.519572953736654
498,45.26690391459074
436,44.00355871886121
374,36.31672597864768
312,34.395017793594306
250,29.91103202846975
188,27.864768683274022
126,25.195729537366546
-M,-C 0.25 
64,19.306049822064058
560,49.8576512455516
2,9.519572953736654
498,45.26690391459074
436,44.00355871886121
374,36.31672597864768
312,34.395017793594306
250,29.91103202846975
188,27.864768683274022
126,25.195729537366546
-M,-C 0.25 
64,19.306049822064058
560,49.8576512455516
2,9.519572953736654
498,45.26690391459074
436,44.00355871886121
374,36.31672597864768
312,34.395017793594306
250,29.91103202846975
188,27.864768683274022
126,25.195729537366546
-M,-C 0.25 
64,19.306049822064058
560,49.8576512455516
2,9.519572953736654
498,45.26690391459074
436,44.00355871886121
374,36.31672597864768
312,34.395017793594306
250,29.91103202846975
188,27.864768683274022
126,25.195729537366546
-M,-C 0.25 
64,19.306049822064058
560,49.8576512455516
2,9.519572953736654
498,45.26690391459074
436,44.00355871886121
374,36.31672597864768
312,34.395017793594306
250,29.91103202846975
188,27.864768683274022
126,25.195729537366546
-M,-C 0.25 
64,19.306049822064058
560,49.8576512455516
2,9.519572953736654
498,45.26690391459074
436,44.00355871886121
374,36.31672597864768
312,34.395017793594306
250,29.91103202846975
188,27.864768683274022
126,25.195729537366546
-M,-C 0.25 
64,19.306049822064058
560,49.8576512455516
2,9.519572953736654
498,45.26690391459074
436,44.00355871886121
374,36.31672597864768
312,34.395017793594306
250,29.91103202846975
188,27.864768683274022
126,25.195729537366546
-M,-C 0.25 
64,19.306049822064058
560,49.8576512455516
2,9.519572953736654
498,45.26690391459074
436,44.00355871886121
374,36.31672597864768
312,34.395017793594306
250,29.91103202846975
188,27.864768683274022
126,25.195729537366546
